Notes,Category,Key,Author,Title,Journal,Year,PDF,PPT/sound/photos,Awards/Honors
,Miscellaneous,,"Dong Hyun Jeong, Evan Suma, Thomas Butkiewicz, William Ribarsky, and Remco Chang",Poster: A continuous analysis process between desktop and collaborative visual analytics environments,"Poster, IEEE Conference on Visual Analytics, 2010",2010,Yes,Yes (mov),--
,Journal,,"William Pike, John Stasko, Remco Chang, Theresa O'Connell",Science of Interaction,Journal of Information Visualization (IVS). Special Issue: Foundations and Frontiers of Visual Analytics,2009,Yes,--,--
,Journal,,"Xiaoyu Wang, Dong Hyun Jeong, Wenwen Dou, Seok-Won Lee, William Ribarsky, Remco Chang",Defining and Applying Knowledge Conversion Processes to a Visual Analytics System,Computers and Graphics (Elsevier),2009,Yes,--,--
,Journal,,"Daniel Keefe, Marcus Ewert, William Ribarsky, Remco Chang",Interactive Coordinated Multiple-View Visualization of Biomechanical Motion Data,IEEE Transactions on Visualization and Computer Graphics (Visualization 2009),2009,Yes,Yes (mov),--
,Journal,,"Dong Hyun Jeong, Caroline Ziemkiewicz, Brian Fisher, William Ribarsky, Remco Chang","
iPCA: An Interactive System for PCA-based Visual Analytics",Computer Graphics Forum (Eurovis 2009),2009,Yes,Yes (wmv),--
,Journal,,"Wenwen Dou, Dong Hyun Jeong, Felesia Stukes, William Ribarsky, Heather Richter Lipford, Remco Chang",Recovering Reasoning Process From User Interactions,IEEE Computer Graphics and Applications (CG&A) Issue on Visual Analytics Evaluation (SEMVAST),2009,Yes,--,--
,Journal,,"Remco Chang, Caroline Ziemkiewicz, Tera Green, William Ribarsky",Defining Insight For Visual Analytics,IEEE Computer Graphics and Applications (CG&A) Viewpoints,2009,Yes,--,--
,Conference,,"Dong Hyun Jeong, Wenwen Dou, William Ribarsky, Remco Chang",Knowledge-Oriented Refactoring in Visualization,IEEE Visualization Workshop on Refactoring Visualization From Experience (REVISE) 2009,2009,Yes,--,--
,Conference,,"Dong Hyun Jeong, William Ribarsky, Remco Chang",Designing a PCA-Based Collaborative Visual Analytics System,IEEE Visualization Workshop on Collaborative Visualization 2009,2009,Yes,--,--
,Conference,,"Wenwen Dou, Dong Hyun Jeong, Felesia Stukes, William Ribarsky, Heather Richter Lipford, Remco Chang",Comparing Usage Patterns of Domain Experts and Novices in Visual Analytical Tasks,ACM SIGCHI Sensemaking Workshop 2009,2009,Yes,--,--
,Conference,,"Xiaoyu Wang, Wenwen Dou, Rashna Vatcha, Wanqiu Liu, Shen-En Chen, Seok-Won Lee, Remco Chang, William Ribarsky",Knowledge Integrated Visual Analysis of Bridge Safety and Maintenance,"SPIE Defense, Security, and Sensing 2009",2009,Yes,--,--
,Conference,,"Xiaoyu Wang, Wenwen Dou, William Ribarsky, Remco Chang",Integration of Heterogeneous Processes through Visual Analytics,"SPIE Defense, Security, and Sensing 2009",2009,Yes,--,--
,Conference,,"Michael Butkiewicz, Thomas Butkiewicz, William Ribarsky, Remco Chang",Integrating Time-series Visualizations within Parallel Coordinates for Exploratory Analysis of Incident Databases,"SPIE Defense, Security, and Sensing 2009",2009,Yes,--,--
,Conference,,"Thomas Butkiewicz, Dong Hyun Jeong, William Ribarsky, Remco Chang",Hierarchical Multi-Touch Selectione Techniques for Collaborative Geospatial Analysis,"SPIE Defense, Security, and Sensing 2009",2009,Yes,--,--
,Miscellaneous,,"Dong Hyun Jeong, Tera Marie Green, William Ribarsky, Remco Chang",Poster: Comparing Two Interface Tools In Performing Visual Analytics Tasks,IEEE Symposium on Visual Analytics 2009 Poster,2009,Yes,--,--
,Miscellaneous,,"Dong Hyun Jeong, Remco Chang, William Ribarsky",Poster: Creating a Knowledge Structure in Real-Time,Eurovis 2009 Poster,2009,Yes,--,--
,Miscellaneous,,"Remco Chang, Robert Kosara, Alex Godwin, William Ribarsky",Poster: Towards A Role of Visualization in Social Modeling,AAAI 2009 Spring Symposium on Technosocial Predictive Analytics (Poster Paper),2009,Yes,--,--
,Miscellaneous,,"Ginette Wessel, Eric Sauda, Remco Chang",Mapping Understanding: Transforming Topographic Maps into Cognitive Maps,GeoVis Hamburg Workshop (International Cartographic Association Commission on GeoVisualization),2009,Yes,--,--
